dataset,split,model,set,mean_signed_error,rmse_mae_ratio,p90_abs_error,p95_abs_error,frac_within_2mae,n_loaded
jdft2d,chemsys,coGN,train,-0.108922,6.9717,0.510556,1.37294,0.9576,448
jdft2d,chemsys,coGN,val,-38.861799,3.5963,83.799339,180.201876,0.9206,63
jdft2d,chemsys,coGN,test,-11.144532,2.6518,77.19635,121.88292,0.896,125
jdft2d,chemsys,coNGN,train,0.014044,3.6175,0.221647,0.34555,0.9353,448
jdft2d,chemsys,coNGN,val,-44.328988,3.6239,62.052189,187.284846,0.9048,63
jdft2d,chemsys,coNGN,test,-14.074373,2.6702,85.383423,152.86913,0.896,125
jdft2d,composition,coGN,train,0.058607,6.4153,0.547135,1.154914,0.9662,444
jdft2d,composition,coGN,val,-17.010908,2.3662,90.01,189.20997,0.9048,63
jdft2d,composition,coGN,test,0.825811,2.133,68.161165,91.29908,0.8527,129
jdft2d,composition,coNGN,train,0.023753,4.1159,0.38783,0.72772,0.9054,444
jdft2d,composition,coNGN,val,-17.773916,2.4912,63.176922,183.469065,0.9048,63
jdft2d,composition,coNGN,test,1.31979,2.2547,60.718994,136.348539,0.907,129
jdft2d,crystalsys,coGN,train,0.342182,7.3273,0.335253,0.686025,0.9686,478
jdft2d,crystalsys,coGN,val,-35.438238,3.0869,114.9774,213.703075,0.9118,68
jdft2d,crystalsys,coGN,test,-30.694485,2.7122,109.800685,293.30172,0.9333,90
jdft2d,crystalsys,coNGN,train,0.044621,4.901,0.295449,0.429725,0.9414,478
jdft2d,crystalsys,coNGN,val,-32.703782,2.8739,90.008715,319.74166,0.9118,68
jdft2d,crystalsys,coNGN,test,-45.928406,2.9574,120.662969,356.4985,0.9222,90
jdft2d,elements,coGN,train,-0.211694,8.1559,0.5517,1.2705,0.9737,418
jdft2d,elements,coGN,val,-13.509334,2.1241,58.564903,204.886835,0.8983,59
jdft2d,elements,coGN,test,0.51607,2.9535,60.412541,120.57352,0.9057,159
jdft2d,elements,coNGN,train,0.023954,7.5475,0.296329,0.432123,0.9569,418
jdft2d,elements,coNGN,val,-1.878853,2.0163,65.543244,193.810125,0.9153,59
jdft2d,elements,coNGN,test,-7.968205,3.8571,42.856687,50.842245,0.9371,159
jdft2d,index,coGN,train,-0.247679,8.5575,0.411947,0.771223,0.9664,446
jdft2d,index,coGN,val,2.767508,2.0453,75.048333,98.221034,0.8889,63
jdft2d,index,coGN,test,-21.056071,3.2899,81.136867,148.840033,0.9134,127
jdft2d,index,coNGN,train,-0.011731,1.3941,0.213507,0.27514,0.9036,446
jdft2d,index,coNGN,val,-1.376043,2.1443,59.777633,81.048805,0.8571,63
jdft2d,index,coNGN,test,-32.579381,3.439,94.60294,290.94189,0.9055,127
jdft2d,periodictablegroups,coGN,train,0.155725,9.178,0.455366,0.73114,0.9549,421
jdft2d,periodictablegroups,coGN,val,-4.598765,2.0722,63.02875,97.853763,0.8833,60
jdft2d,periodictablegroups,coGN,test,-13.819128,2.9966,99.694157,239.79212,0.9032,155
jdft2d,periodictablegroups,coNGN,train,0.012137,3.8353,0.19251,0.34538,0.9335,421
jdft2d,periodictablegroups,coNGN,val,-14.404519,2.5508,67.86873,89.10682,0.8667,60
jdft2d,periodictablegroups,coNGN,test,-23.348134,3.5146,94.322835,161.059846,0.8903,155
jdft2d,pointgroup,coGN,train,0.16982,8.485,0.357642,0.484282,0.9622,423
jdft2d,pointgroup,coGN,val,6.823507,1.8236,82.07861,128.60625,0.85,60
jdft2d,pointgroup,coGN,test,-33.834536,2.784,118.513784,312.131845,0.9085,153
jdft2d,pointgroup,coNGN,train,0.012293,3.7314,0.251623,0.36707,0.9031,423
jdft2d,pointgroup,coNGN,val,6.619105,2.5285,41.658561,154.347033,0.9333,60
jdft2d,pointgroup,coNGN,test,-29.132436,2.678,136.862547,378.18995,0.8954,153
jdft2d,sgnum,coGN,train,0.00183,7.8858,0.36841,0.57477,0.9724,434
jdft2d,sgnum,coGN,val,-21.531941,4.0624,82.196863,99.53662,0.9508,61
jdft2d,sgnum,coGN,test,-9.590178,2.2252,72.970787,100.205375,0.8936,141
