dataset,split,model,iid_test_mae,iid_test_rmse,iid_test_r2,ood_val_mae,ood_val_r2,ood_test_mae,ood_test_rmse,ood_test_r2,mae_ratio,rmse_ratio,delta_r2,val_ratio,val_test_gap,is_small_dataset,units
jdft2d,chemsys,coGN,50.55146,166.309369,0.158423,57.497501,-0.041037,35.007973,92.83298,0.297267,0.6925,0.5582,-0.1388,1.1374,-0.4449,1,meV/atom
jdft2d,chemsys,coNGN,49.572547,170.478689,0.115698,56.207521,-0.010166,37.566198,100.308681,0.179529,0.7578,0.5884,-0.0638,1.1338,-0.376,1,meV/atom
jdft2d,composition,coGN,50.55146,166.309369,0.158423,46.035783,0.494921,27.621246,58.916423,0.450494,0.5464,0.3543,-0.2921,0.9107,-0.3643,1,meV/atom
jdft2d,composition,coNGN,49.572547,170.478689,0.115698,42.029069,0.533338,32.628511,73.569091,0.143178,0.6582,0.4315,-0.0275,0.8478,-0.1896,1,meV/atom
jdft2d,crystalsys,coGN,50.55146,166.309369,0.158423,60.115607,0.121505,75.079442,203.631442,-0.006898,1.4852,1.2244,0.1653,1.1892,0.296,1,meV/atom
jdft2d,crystalsys,coNGN,49.572547,170.478689,0.115698,55.169312,0.358713,66.664042,197.152849,0.056152,1.3448,1.1565,0.0595,1.1129,0.2319,1,meV/atom
jdft2d,elements,coGN,50.55146,166.309369,0.158423,27.806949,0.674038,32.250825,95.251797,0.344968,0.638,0.5727,-0.1865,0.5501,0.0879,1,meV/atom
jdft2d,elements,coNGN,49.572547,170.478689,0.115698,34.79214,0.540207,23.818367,91.870226,0.390651,0.4805,0.5389,-0.275,0.7018,-0.2214,1,meV/atom
jdft2d,periodictablegroups,coGN,50.55146,166.309369,0.158423,24.722007,0.900655,50.213106,150.469401,-0.028326,0.9933,0.9048,0.1867,0.489,0.5043,1,meV/atom
jdft2d,periodictablegroups,coNGN,49.572547,170.478689,0.115698,26.523947,0.826718,41.963316,147.484657,0.012065,0.8465,0.8651,0.1036,0.5351,0.3114,1,meV/atom
jdft2d,pointgroup,coGN,50.55146,166.309369,0.158423,31.595775,0.536547,65.83896,183.298126,0.081247,1.3024,1.1022,0.0772,0.625,0.6774,1,meV/atom
jdft2d,pointgroup,coNGN,49.572547,170.478689,0.115698,24.803269,0.450956,67.668951,181.219603,0.101965,1.365,1.063,0.0137,0.5003,0.8647,1,meV/atom
jdft2d,sgnum,coGN,50.55146,166.309369,0.158423,51.491975,-0.079597,33.608626,74.784359,0.469529,0.6648,0.4497,-0.3111,1.0186,-0.3538,1,meV/atom
jdft2d,sgnum,coNGN,49.572547,170.478689,0.115698,52.229586,-0.053981,34.401235,86.559014,0.289336,0.694,0.5077,-0.1736,1.0536,-0.3596,1,meV/atom
log_gvrh,chemsys,coGN,0.074402,0.115405,0.899086,0.073926,0.908009,0.075281,0.113917,0.905584,1.0118,0.9871,-0.0065,0.9936,0.0182,0,log(GPa)
log_gvrh,chemsys,coNGN,0.071359,0.113977,0.901569,0.06911,0.918104,0.06999,0.107771,0.915496,0.9808,0.9456,-0.0139,0.9685,0.0123,0,log(GPa)
log_gvrh,composition,coGN,0.074402,0.115405,0.899086,0.073853,0.902334,0.078002,0.117692,0.899008,1.0484,1.0198,0.0001,0.9926,0.0558,0,log(GPa)
log_gvrh,composition,coNGN,0.071359,0.113977,0.901569,0.071593,0.903955,0.072312,0.11048,0.911005,1.0134,0.9693,-0.0094,1.0033,0.0101,0,log(GPa)
log_gvrh,crystalsys,coGN,0.074402,0.115405,0.899086,0.075991,0.896083,0.087977,0.122807,0.909212,1.1825,1.0641,-0.0101,1.0214,0.1611,0,log(GPa)
log_gvrh,crystalsys,coNGN,0.071359,0.113977,0.901569,0.070759,0.904772,0.076665,0.108334,0.92935,1.0744,0.9505,-0.0278,0.9916,0.0828,0,log(GPa)
log_gvrh,elements,coGN,0.074402,0.115405,0.899086,0.075746,0.904934,0.109075,0.152387,0.84175,1.466,1.3204,0.0573,1.0181,0.448,0,log(GPa)
