dataset,split,model,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2,test_rmse_mae_ratio,train_test_mae_ratio,n_train,n_val,n_test,epochs,train_time_h,units,is_small_dataset
jdft2d,chemsys,coGN,0.967437,6.744714,0.997213,57.497501,206.780397,-0.041037,35.007973,92.83298,0.297267,2.6518,0.0276,448,63,125,800,0.0304,meV/atom,1
jdft2d,chemsys,coNGN,0.132987,0.481078,0.999986,56.207521,203.691365,-0.010166,37.566198,100.308681,0.179529,2.6702,0.0035,448,63,125,600,0.0929,meV/atom,1
jdft2d,composition,coGN,0.903407,5.795591,0.998361,46.035783,108.929241,0.494921,27.621246,58.916423,0.450494,2.133,0.0327,444,63,129,800,0.0616,meV/atom,1
jdft2d,composition,coNGN,0.226628,0.93279,0.999958,42.029069,104.704695,0.533338,32.628511,73.569091,0.143178,2.2547,0.0069,444,63,129,600,0.0929,meV/atom,1
jdft2d,crystalsys,coGN,0.978337,7.168542,0.995051,60.115607,185.571957,0.121505,75.079442,203.631442,-0.006898,2.7122,0.013,478,68,90,800,0.0538,meV/atom,1
jdft2d,crystalsys,coNGN,0.189884,0.930621,0.999917,55.169312,158.551056,0.358713,66.664042,197.152849,0.056152,2.9574,0.0028,478,68,90,600,0.0987,meV/atom,1
jdft2d,elements,coGN,1.137255,9.275302,0.995813,27.806949,59.06508,0.674038,32.250825,95.251797,0.344968,2.9535,0.0353,418,59,159,800,0.058,meV/atom,1
jdft2d,elements,coNGN,0.278218,2.09986,0.999785,34.79214,70.150189,0.540207,23.818367,91.870226,0.390651,3.8571,0.0117,418,59,159,600,0.0812,meV/atom,1
jdft2d,index,coGN,0.706737,6.047927,0.997649,27.490261,56.225716,0.304427,50.55146,166.309369,0.158423,3.2899,0.014,446,63,127,800,0.03,meV/atom,1
jdft2d,index,coNGN,0.107842,0.150343,0.999999,25.192759,54.020224,0.357925,49.572547,170.478689,0.115698,3.439,0.0022,446,63,127,600,0.05,meV/atom,1
jdft2d,periodictablegroups,coGN,0.472892,4.34018,0.998761,24.722007,51.227796,0.900655,50.213106,150.469401,-0.028326,2.9966,0.0094,421,60,155,800,0.0744,meV/atom,1
jdft2d,periodictablegroups,coNGN,0.135486,0.519626,0.999982,26.523947,67.656457,0.826718,41.963316,147.484657,0.012065,3.5146,0.0032,421,60,155,600,0.0754,meV/atom,1
jdft2d,pointgroup,coGN,0.366903,3.113167,0.999232,31.595775,57.619545,0.536547,65.83896,183.298126,0.081247,2.784,0.0056,423,60,153,800,0.0744,meV/atom,1
jdft2d,pointgroup,coNGN,0.128206,0.478385,0.999982,24.803269,62.714901,0.450956,67.668951,181.219603,0.101965,2.678,0.0019,423,60,153,600,0.0921,meV/atom,1
jdft2d,sgnum,coGN,0.627163,4.945669,0.998581,51.491975,209.178558,-0.079597,33.608626,74.784359,0.469529,2.2252,0.0187,434,61,141,800,0.0582,meV/atom,1
jdft2d,sgnum,coNGN,0.128727,0.301444,0.999995,52.229586,206.68204,-0.053981,34.401235,86.559014,0.289336,2.5162,0.0037,434,61,141,600,0.0944,meV/atom,1
log_gvrh,chemsys,coGN,0.000638,0.004176,0.999872,0.073926,0.113573,0.908009,0.075281,0.113917,0.905584,1.5132,0.0085,7682,1097,2204,800,0.4923,log(GPa),0
log_gvrh,chemsys,coNGN,0.000567,0.003022,0.999933,0.06911,0.10716,0.918104,0.06999,0.107771,0.915496,1.5398,0.0081,7682,1097,2204,600,1.0923,log(GPa),0
log_gvrh,composition,coGN,0.000512,0.003673,0.999902,0.073853,0.113265,0.902334,0.078002,0.117692,0.899008,1.5088,0.0066,7662,1095,2226,800,0.514,log(GPa),0
log_gvrh,composition,coNGN,0.000485,0.003117,0.99993,0.071593,0.112322,0.903955,0.072312,0.11048,0.911005,1.5278,0.0067,7662,1095,2226,600,1.0478,log(GPa),0
log_gvrh,crystalsys,coGN,0.00048,0.003139,0.999925,0.075991,0.116866,0.896083,0.087977,0.122807,0.909212,1.3959,0.0055,8124,1161,1698,800,0.5205,log(GPa),0
log_gvrh,crystalsys,coNGN,0.000529,0.0039,0.999885,0.070759,0.111873,0.904772,0.076665,0.108334,0.92935,1.4131,0.0069,8124,1161,1698,600,1.1401,log(GPa),0
log_gvrh,elements,coGN,0.000486,0.002658,0.999945,0.075746,0.113012,0.904934,0.109075,0.152387,0.84175,1.3971,0.0045,6545,935,3503,800,0.4556,log(GPa),0
log_gvrh,elements,coNGN,0.000416,0.002504,0.999951,0.073125,0.112717,0.90543,0.099456,0.141579,0.863402,1.4235,0.0042,6545,935,3503,600,0.841,log(GPa),0
log_gvrh,index,coGN,0.000523,0.003526,0.99991,0.079177,0.121747,0.892686,0.074402,0.115405,0.899086,1.5511,0.007,7690,1098,2195,800,0.5551,log(GPa),0
log_gvrh,index,coNGN,0.000457,0.002672,0.999948,0.074608,0.117943,0.899287,0.071359,0.113977,0.901569,1.5972,0.0064,7690,1098,2195,600,1.0722,log(GPa),0
